title,text,date,label
UPDATE: TRUMP AIDE VICTIM OF False Report…WAS NOT Tossed From The White House [Video],"Earlier today, CNN s April Ryan reported Trump administration aide Omarosa Manigault had to be escorted out of the White House by Secret Service officers after she was fired by Chief of Staff John Kelly. American Urban Radio Networks  White House correspondent April Ryan told the story about the aide s firing on CNN:.@AprilDRyan reports Omarosa is leaving the White House because General Kelly ""was tired of all the drama."" She ""was very vulgar, she was cursing"" when he let her know and tried to go see Trump in his residence, but was escorted out by Secret Service https://t.co/tXu1J9HEOw  Deena Zeina Zaru (@Deena_CNN) December 13, 2017THE LEFTY TRUMP HATERS WERE GLEEFUL:""Bye girl, bye   You have never represented the community.   Good riddance, goodbye, deuces out!"" @angela_rye celebrates the departure of Omarosa Manigault from the White House https://t.co/t2w0NBvunL https://t.co/1uHDdvobgy  Deena Zeina Zaru (@Deena_CNN) December 13, 2017The problem is that the Secret Service pushed back in a tweet saying this did not happen:Reporting regarding Secret Service personnel physically removing Omarosa Manigault Newman from the @WhiteHouse complex is incorrect.  U.S. Secret Service (@SecretService) December 13, 2017",13-Dec-17,False Report
Catalonia should remain part of Spain after vote: minister,"KIEV (Reuters) - Spanish Foreign Minister Alfonso Dastis said on Monday that he hoped and believed a regional election in Catalonia would result in the territory remaining part of Spain.  We hope, with the help of these elections, to restore legal governance and rule of law in Catalonia,  Dastis said, speaking through an interpreter during a briefing in Kiev.  We hope and believe that after these elections, Catalonia will again be the same society it was before: open and integrated.  he said. ",30-Oct-17,True Report
"Contrary to Trump Tweet, Senator Flake still undecided on tax bill","WASHINGTON (Reuters) - U.S. President Donald Trump predicted on Sunday that Senator Jeff Flake will oppose the Republican tax bill, but the senator’s office says he has not yet made up his mind. “Senator Flake is still reviewing the tax reform bill on its merits. How he votes on it will have nothing to do with the president,” a spokesman for the senator said in an email.  That is contrary to an assertion made by Trump on Sunday in a post on Twitter. “He’ll be a NO on tax cuts because his political career anyway is ‘toast.’,” Trump wrote of Flake on Twitter.  Where individual Republican senators stand on the tax bill has become the focus of those trying to determine whether it will pass because Republicans control only 52 seats in the Senate.  More than two Republican defections would likely kill the bill. Wisconsin Senator Ron Johnson has already publicly stated he opposes the bill in its current form. The House voted last week to approve the tax bill with no support from Democrats and 13 Republicans defecting. Trump and Flake, both Republicans, have been critical of each other in recent months. Flake delivered a speech on the Senate floor in October during which he said Trump threatened the nation’s democracy. In the same speech, Flake announced he would not be seeking re-election to the Senate next year when his term expires.  Trump has in turn been critical of Flake, saying he would not be able to win re-election.  On Saturday at an event in Arizona, Flake was overheard on a nearby microphone talking with Mesa Mayor John Giles about Trump.  “If we become the party of Roy Moore and Donald Trump, we are toast,” Flake said, according to television station KNXV, whose microphone recorded him.  Moore, who is the Republican candidate for a Senate seat in Alabama, has faced sexual misconduct allegations, and Republican leaders in Congress have urged him to drop out of the Dec. 12 special election.    In his Twitter post on Sunday, Trump also suggested that Flake intentionally made those remarks in order to be heard.  “Sen. Jeff Flake(y), who is unelectable in the Great State of Arizona (quit race, anemic polls) was caught (purposely) on “mike” saying bad things about your favorite President,” Trump wrote on Twitter. ",20-Nov-17,True Report
Presidential vote runner-up in Kyrgyzstan concedes defeat,"BISHKEK (Reuters) - Kyrgyz opposition leader Omurbek Babanov said on Monday he had lost Sunday s presidential election after preliminary figures showed his main opponent winning outright with more than 50 percent of the vote. Babanov said he planned no immediate public protests in Kyrgyzstan, although his campaign staff would follow up on all reported violations of electoral rules.  ",16-Oct-17,True Report
"Trump to limit Cuba travel, restrict business deals with military: U.S. officials","WASHINGTON (Reuters) - President Donald Trump on Friday will announce a plan to tighten rules on Americans traveling to Cuba and significantly restrict U.S. companies from doing business with Cuban enterprises controlled by the military, senior White House officials said on Thursday. Trump will lay out his new Cuba policy in a speech in Miami that will roll back parts of former President Barack Obama’s opening to the communist-ruled island after a 2014 diplomatic breakthrough between the two former Cold War foes. Taking a tougher approach against Havana after promising to do so during the presidential campaign, Trump will outline stricter enforcement of an existing ban on Americans going to Cuba as tourists and will seek to prevent U.S. dollars from being used to fund what the new U.S. administration sees as a repressive military-dominated government. The new policy will ban most U.S. business deals with the Armed Forces Business Enterprises Group (GAESA), a sprawling conglomerate involved in all sectors of the economy, but make exceptions related to air and sea travel, the officials said. This will essentially shield U.S. airlines and cruise lines now serving the island. But even as he curbs Obama’s détente with Cuba, Trump will stop short of closing embassies or breaking off diplomatic relations restored in 2015 after more than five decades of hostility, U.S. officials said. He will also leave in place some other tangible measures implemented by his Democratic predecessor, including the resumption of direct U.S.-Cuba commercial flights, though Trump’s more restrictive policy seems certain to dampen new economic ties overall. And, according to one White House official, the administration does not intend to “disrupt” existing business deals such as one struck under Obama by Starwood Hotels, which is owned by Marriott International Inc, to manage a historic Havana hotel. There are also no plans to reinstate the limits that Obama lifted on the amount of the island’s coveted rum and cigars that American can bring home for personal use, one White House official said. As a result, the changes – though far-reaching – appear to be less sweeping than many pro-engagement advocates had feared. Trump will justify his partial reversal of Obama’s measures to a large extent on human rights grounds. His aides contend that Obama’s easing of U.S. restrictions has done nothing to advance political freedoms in Cuba, while benefiting the Cuban government financially. Saying that the aim was to repair what Trump has called a “bad deal” struck by Obama with Havana, one U.S. official said the new administration would leave the door open to improved relations if Cuba undertakes democratic reforms such as allowing free and fair elections and the release of political prisoners. International human rights groups say, however, that reinstating a U.S. policy of isolating the island could make the situation worse by empowering Cuban hardliners. The Cuban government has made clear it will not be pressured into political reforms in exchange for diplomatic engagement. At home, Trump’s critics have questioned why his administration is now singling out Cuba for its human rights record while insisting that in other parts of the world it will not lecture other countries on the issue. Trump will issue a presidential memorandum when he delivers his speech at the Manuel Artime Theater in Miami’s Little Havana district, the heart of America’s Cuban-American and Cuban exile community. The venue is named after a leader of the failed U.S.-backed Bay of Pigs invasion of Cuba in 1961 against Fidel Castro’s revolutionary government. Republican Senator Marco Rubio, who was played a key role in pushing for Trump’s changes, was expected to attend along with U.S. Representative Mario Diaz-Balart and other Cuban-American lawmakers. Under Trump’s order, the Treasury and Commerce Departments will be given 30 days to begin writing new regulations and they will not take effect until they are complete. Under the revised travel policy, U.S. officials say there will be tighter enforcement to make sure Americans legally fit the 12 authorized categories they claim to be traveling under, which could spook many visitors, wary of receiving a hefty fine. While tourism to Cuba is banned by U.S. law, the Obama administration had been allowing people to travel to Cuba as part of “people to people” educational trips for visitors, a classification that a White House official said was “ripe for abuse” by those looking for beach vacations. Trump’s new policy will eliminate such visits by individuals while still allowing them to be done as group tours, and also retaining individual travel under other authorized categories such as religious, artistic and journalistic activities, the official said. But Trump’s planned rollback of Obama’s policy has drawn opposition from American businesses and the travel industry, which have begun making inroads on the island, as well as many lawmakers, including some of Trump’s fellow Republicans. The new policy has come together after contentious meetings within the administration. Some aides have argued that Trump, a former real estate magnate who won the presidency promising to unleash U.S. business and create jobs, would have a hard time defending any moves that close off the Cuban market. But other advisers have contended that it is important to make good on a promise to Cuban-Americans whose support they considered significant in winning Florida in the 2016 election. Miami is home to the largest Cuban-American community. ",15-Jun-17,True Report
DEMOCRATS FREAK OUT As Shocking Number Of Union Members Plan To Vote For “Blue-Collar Billionaire” Donald Trump [VIDEO],"As millions of dollars of union dues flow into the Democrat coffers, it could be all for naught, as union members plan to cast their votes for Donald Trump Democrats are worried as more and more union members are supporting Donald Trump for president.A recent AFL-CIO poll found that Trump has more support than Hillary and Bernie Sanders combined.95% of union donations flow to Democratic candidates and causes.  Gateway PunditTrump is resonating with voters who are struggling to make ends meet and who are seeing their friends  jobs shipped abroad, says John Cakmakci, president of United Food and Commercial Workers Union Local 951 in Michigan. And some of those voters are union members. Trump s populist positions on trade and his rejection of Washington politics have earned him votes across the Rust Belt, where several battleground states are key to winning the election in November Donald Trump Jr. explains the  Blue-Collar Billionaire s  appeal with voters: Working America, the political organizing arm of AFL-CIO, wanted to find out whether Trump s  rightwing  message appealed to workers outside Cleveland and Pittsburgh. After interviewing about 1,689 working-class Americans living in households earning less than $75,000, they found out that Trump was in fact the favored candidate. Of the 800 voters who had decided on a candidate at the time of the interview, about 300 favored Trump. Combined, the two Democratic candidates appealed to fewer workers   174 chose Clinton and 95 chose Sanders. While most of Trump s support comes from the staunch Republican base, one in four Democrats who chose a candidate showed a preference for Trump,  said Working America s report.The majority of respondents said they supported the candidate because of his pugnacious personality rather than for, say, his position on trade.On Tuesday, Jared Szczesny, a card-carrying member of the United Automobile, Aerospace and Agricultural Implement Workers of America Union (UAW), will cast his vote for Trump in Pennsylvania s primary. In 2008 and 2012, UAW endorsed President Obama. This time UAW has yet to endorse a candidate, but is likely to back a Democrat.Szczesny, 31, has never attended a Trump rally. He works seven days a week and has not been able to find the time. However, back in October, he picked up Trump s book The Art of the Deal. When he finished it, he knew that Trump had his vote.Via: The Guardian",27-Apr-16,False Report
A MUST WATCH! “It’s Time To Show America Is Bigger And Better Than Ever Before!” – Donald J. Trump [Video],"  #PresidentElectTrumpABSOLUTELY MUST WATCHToday there is hope for the American people.We will #MakeAmericaGreatAgainPlease RT pic.twitter.com/WSbpcKr8np  Brian Fraser (@bfraser747) November 9, 2016",21-Dec-16,False Report
(VIDEO) WOW! THIS RACIST STATEMENT FROM JEB BUSH ISN’T EVEN THE WORST OF WHAT HE SAID ABOUT IMMIGRATION,Stereotype much? Wow! This entire statement is misleading and racist because Jeb Bush wants to paint with broad strokes the picture of just how great it will be to flood America with lots of  fertile  illegals. He then goes on to say that America will  decline  if we don t do this  ,30-Jul-15,False Report
Trump aide named to lead White House communications says he won't take job,"(Reuters) - Jason Miller, who President-elect Donald Trump announced this week would serve as his White House communications director, said on Saturday he would not take the job. Miller, the communications director for Trump’s transition team, said in a statement that his family needed to take priority over career moves. He said he and his wife were expecting their second daughter in January. Trump takes office on Jan. 20. “This is not the right time to start a new job as demanding as White House communications director,” Miller said. He said his duties would instead be handled by Sean Spicer, who Trump named his press secretary on Thursday, the same day Miller was announced as communications director. Trump also said in that announcement that spokeswoman Hope Hicks would be director of strategic communications. ",25-Dec-16,True Report
"Russia says 48,000 of its troops took part in Syria campaign","MOSCOW (Reuters) - A total of 48,000 of Russian troops have taken part in Moscow s military campaign in Syria, Russian Defence Minister Sergei Shoigu said on Friday. ",22-Dec-17,True Report
